code,term
10509002,Acute bronchitis
10629151000119105,Acute bronchitis caused by coxsackievirus
138389411000119105,Acute bronchitis caused by severe acute respiratory syndrome coronavirus 2
15199004,Acute bronchiolitis with bronchospasm
155511006,Acute bronchitis and bronchiolitis
155512004,Acute: [bronchitis] or [chest infections] or [tracheobronchitis]
155515002,Acute bronchitis NOS
195712009,Acute bronchitis and/or bronchiolitis
195713004,Acute bronchitis (& wheezy)
195717003,Acute purulent bronchitis
195719000,Acute pneumococcal bronchitis
195720006,Acute streptococcal bronchitis
195721005,Acute bronchitis caused by Haemophilus influenzae
195722003,Acute Moraxella catarrhalis bronchitis
195725001,Acute coxsackievirus bronchitis
195726000,Acute parainfluenza virus bronchitis
195727009,Acute respiratory syncytial virus bronchitis
195728004,Acute bronchitis caused by rhinovirus
195729007,Acute echovirus bronchitis
195730002,Subacute bronchitis unspecified
195733000,Acute bronchitis NOS
195743002,Acute bronchitis or bronchiolitis NOS
196215001,[X]Acute bronchitis due to other specified organisms
233598009,Acute bacterial bronchitis
233599001,Acute mycoplasmal bronchitis
233600003,Acute chlamydial bronchitis
233601004,Acute viral bronchitis
266380005,Acute: [bronchitis] or [chest infections] or [tracheobronchitis]
275495004,Acute fibrinous laryngotracheobronchitis
27836007,Pertussis
312371005,Acute infective bronchitis
312400008,Acute infective tracheobronchitis
35301006,Acute tracheobronchitis
36426008,Subacute bronchitis
408682005,Healthcare associated pertussis
431681000000108,[X]Acute bronchitis due to other specified organisms
5875001,Acute bronchitis with obstruction
621011000000106,Acute bronchitis NOS
651931000000103,Subacute bronchitis unspecified
705871000000109,Acute bronchitis or bronchiolitis NOS
714203003,Acute bronchitis co-occurrent with bronchiectasis
735464006,Acute noninfective bronchitis
785745000,Acute bronchitis co-occurrent with wheeze
80257001,Acute bronchitis with bronchospasm
