code,term
18211811000001104,Optilast 0.05% eye drops (Mawdsley-Brooks & Company Ltd) (AMP)
28924211000001106,Optilast 0.05% eye drops (Waymade Healthcare Plc) (AMP)
3636611000001104,Optilast 0.05% eye drops (Ceuta Healthcare Ltd) (AMP)
3654711000001100,Azelastine 0.05% eye drops (VMP)
39334311000001105,Azelastine 0.05% eye drops (Brown & Burk UK Ltd) (AMP)
39610711000001103,Azelastine 0.05% eye drops (Alliance Healthcare (Distribution) Ltd) (AMP)
40334411000001101,Azelastine 0.05% eye drops (DE Pharmaceuticals) (AMP)
41300211000001107,Azelastine 0.05% eye drops (FDC International Ltd) (AMP)
41513411000001103,Azelastine 0.05% eye drops (A A H Pharmaceuticals Ltd) (AMP)
4227511000001103,Aller-Eze 0.05% eye drops (Novartis Consumer Health UK Ltd) (AMP)
774720002,Azelastine (VTM)
