code,term
10395311000001103,Clotrimazole 1% cream (Arrow Generics Ltd) (AMP)
10497011000001104,Canesten 2% thrush cream (Waymade Healthcare Plc) (AMP)
10611000001108,Privacom 500mg pessaries (Torbet Laboratories Ltd) (AMP)
11261211000001109,Canesten 200mg pessaries (Waymade Healthcare Plc) (AMP)
11402511000001104,Clotrimazole 1% cream (PLIVA Pharma Ltd) (AMP)
11531211000001108,Clotrimazole 1% cream (Sandoz Ltd) (AMP)
13230311000001107,Clotrimazole 1% cream (Dowelhurst Ltd) (AMP)
13401211000001100,Clotrimazole 1% cream (Almus Pharmaceuticals Ltd) (AMP)
13630311000001105,Galpharm Thrush Relief 1% cream (Galpharm International Ltd) (AMP)
13662711000001103,Clotrimazole 1% cream (Numark Ltd) (AMP)
13746211000001109,Clotrimazole 1% cream (Tillomed Laboratories Ltd) (AMP)
13746411000001108,Clotrimazole 500mg pessaries (Tillomed Laboratories Ltd) (AMP)
13840811000001105,Canesten 1% cream (DE Pharmaceuticals) (AMP)
13842011000001100,Canesten 100mg pessaries (DE Pharmaceuticals) (AMP)
13842211000001105,Canesten 200mg pessaries (DE Pharmaceuticals) (AMP)
13842511000001108,Canesten 500mg pessaries (DE Pharmaceuticals) (AMP)
14313111000001104,Canesten 1% cream (Sigma Pharmaceuticals Plc) (AMP)
14322011000001102,Canesten 500mg pessaries (Sigma Pharmaceuticals Plc) (AMP)
14322511000001105,Canesten 100mg pessaries (Sigma Pharmaceuticals Plc) (AMP)
14325811000001101,Canesten Thrush External 2% cream (Sigma Pharmaceuticals Plc) (AMP)
151311000001105,Clotrimazole 500mg pessaries (Teva UK Ltd) (AMP)
15415611000001106,Canesten Internal 10% cream (Waymade Healthcare Plc) (AMP)
15604211000001108,Canesten Antifungal cream (Bayer Plc) (AMP)
16144311000001106,Canesten 500mg pessaries (Lexon (UK) Ltd) (AMP)
16144511000001100,Canesten 1% cream (Lexon (UK) Ltd) (AMP)
16355011000001101,Canesten 1% cream (Mawdsley-Brooks & Company Ltd) (AMP)
16355211000001106,Canesten 100mg pessaries (Mawdsley-Brooks & Company Ltd) (AMP)
16355811000001107,Canesten 500mg pessaries (Mawdsley-Brooks & Company Ltd) (AMP)
16356211000001100,Canesten 10% VC cream (Mawdsley-Brooks & Company Ltd) (AMP)
16356411000001101,Canesten 2% thrush cream (Mawdsley-Brooks & Company Ltd) (AMP)
16356811000001104,Canesten Combi 500mg pessary and 2% cream (Mawdsley-Brooks & Company Ltd) (AMP)
166311000001108,Canesten 1% cream (Bayer Plc) (AMP)
17618011000001109,Canesten 1% cream (Necessity Supplies Ltd) (AMP)
17862811000001108,Clotrimazole 1% cream (Phoenix Healthcare Distribution Ltd) (AMP)
17863511000001103,Clotrimazole 500mg pessaries (Phoenix Healthcare Distribution Ltd) (AMP)
17883611000001102,Canesten Thrush Internal 10% vaginal cream (Sigma Pharmaceuticals Plc) (AMP)
17989611000001108,Boots Pharmacy Thrush 1% cream (The Boots Company Plc) (AMP)
17989911000001102,Boots Pharmacy Thrush Duo (The Boots Company Plc) (AMP)
17995311000001101,Fluconazole 150mg capsule and Clotrimazole 1% cream (VMP)
18623511000001106,Canesten Internal 10% cream (DE Pharmaceuticals) (AMP)
18623711000001101,Canesten 2% thrush cream (DE Pharmaceuticals) (AMP)
18746511000001106,Galpharm Athletes Foot 1% cream (Galpharm International Ltd) (AMP)
19867011000001109,Canesten Thrush Internal 10% vaginal cream (Lexon (UK) Ltd) (AMP)
19872611000001105,Canesten 10% VC cream (DE Pharmaceuticals) (AMP)
20534811000001103,Boots Antifungal 1% cream (The Boots Company Plc) (AMP)
21119311000001103,Canesten Combi 500mg Soft Gel pessary and External 2% cream (Bayer Plc) (AMP)
21119711000001104,Canesten Thrush 500mg Soft Gel pessaries (Bayer Plc) (AMP)
21937311000001101,Clotrimazole 1% cream (Waymade Healthcare Plc) (AMP)
21938111000001102,Clotrimazole 500mg pessaries (Waymade Healthcare Plc) (AMP)
23825411000001102,Clotrimazole 1% cream (DE Pharmaceuticals) (AMP)
23825711000001108,Clotrimazole 500mg pessaries (DE Pharmaceuticals) (AMP)
24098711000001106,Canesten 10% VC cream (Waymade Healthcare Plc) (AMP)
24100411000001108,Canesten Combi 500mg pessary and 2% cream (Waymade Healthcare Plc) (AMP)
29791111000001103,Clotrimazole 500mg pessaries (Sigma Pharmaceuticals Plc) (AMP)
29791511000001107,Clotrimazole 1% cream (Sigma Pharmaceuticals Plc) (AMP)
29861511000001106,Clotrimazole 1% powder (Special Order) (AMP)
30015511000001107,Clotrimazole 500mg pessaries (Mawdsley-Brooks & Company Ltd) (AMP)
30266411000001106,Canesten Thrush External 2% cream (Lexon (UK) Ltd) (AMP)
321911000001104,Canesten Thrush 500mg pessaries (Bayer Plc) (AMP)
32398911000001101,Clotrimazole 500mg pessaries (Kent Pharma (UK) Ltd) (AMP)
325511000001109,Clotrimazole 1% cream (Alliance Healthcare (Distribution) Ltd) (AMP)
33111000001102,Clotrimazole 1% cream (Ceuta Healthcare Ltd) (AMP)
3364411000001106,Canesten Thrush Combi 500mg pessary & External 2% cream (Bayer Plc) (AMP)
3364911000001103,Canesten Combi 500mg pessary and External 2% cream (Bayer Plc) (AMP)
338711000001109,Fungederm 1% cream (Nucare Plc) (AMP)
356511000001101,Clotrimazole 1% cream (Teva UK Ltd) (AMP)
360111000001101,Canesten Thrush External 2% cream (Bayer Plc) (AMP)
36089611000001101,Clotrimazole 1% powder (VMP)
3640011000001107,Canesten 1% solution (Bayer Plc) (AMP)
36565511000001102,Clotrimazole 10% vaginal cream (VMP)
367811000001107,Clotrimazole 1% cream (A A H Pharmaceuticals Ltd) (AMP)
3693111000001108,Canesten Dermatological 1% spray (Bayer Plc) (AMP)
3693511000001104,Canesten AF Dual Action 1% spray (Bayer Plc) (AMP)
37054411000001109,Clotrimazole 1% cream (Mawdsley-Brooks & Company Ltd) (AMP)
372611000001100,Clotrimazole 1% cream (Kent Pharma (UK) Ltd) (AMP)
37577311000001105,Canesten Thrush External 2% cream (CST Pharma Ltd) (AMP)
384911000001106,Canesten Athlete's Foot 1% cream (Bayer Plc) (AMP)
38821211000001102,Clotrimazole 1% cream (NorthStar Healthcare Unlimited Company) (AMP)
38846611000001105,Clotrimazole 500mg pessaries (Medihealth (Northern) Ltd) (AMP)
38846811000001109,Clotrimazole 1% cream (Medihealth (Northern) Ltd) (AMP)
38894611000001106,Fluconazole 150mg capsule and Clotrimazole 2% cream (VMP)
3943411000001107,Canesten Combi Internal & External cream (Bayer Plc) (AMP)
3947811000001103,Clotrimazole 10% cream and Clotrimazole 2% cream (VMP)
39705211000001109,Clotrimazole 100mg pessaries (VMP)
