code,term
1217669004,Chronic papillary vernal conjunctivitis
1371396001,Allergic rhinoconjunctivitis
15679961000119104,Vernal conjunctivitis of right eye
15680001000119101,Vernal conjunctivitis of left eye
15988671000119100,Perennial allergic conjunctivitis of bilateral eyes
15988711000119101,Perennial allergic conjunctivitis of left eye
15988751000119100,Perennial allergic conjunctivitis of right eye
193868008,Allergic conjunctivitis &/or other chronic allergic conjunctivitis
231854006,Atopic conjunctivitis
231855007,Seasonal allergic conjunctivitis
231856008,Perennial allergic conjunctivitis
26045000,Chronic allergic conjunctivitis
267644008,Other chronic allergic conjunctivitis
317349009,Vernal keratoconjunctivitis
318316003,Vernal conjunctivitis
403434009,Atopic keratoconjunctivitis
446021007,Limbal vernal conjunctivitis
473460002,Allergic conjunctivitis
51264003,Limbal AND/OR corneal involvement in vernal conjunctivitis
650121000000106,Other chronic allergic conjunctivitis
67678004,Acute atopic conjunctivitis
703951002,Allergic conjunctivitis caused by Dermatophagoides farinae
703952009,Allergic conjunctivitis caused by Dermatophagoides pteronyssinus
