code,term
14710711000001108,Pevaryl 1% cream (Sigma Pharmaceuticals Plc) (AMP)
271411000001103,Ecostatin 1% cream (Bristol-Myers Squibb Pharmaceuticals Ltd) (AMP)
39710411000001104,Econazole 150mg pessaries and Econazole 1% cream - invalid (VMP)
4091911000001101,Gyno-Pevaryl 150mg vaginal pessaries (Karo Healthcare UK Ltd) (AMP)
4092111000001109,Ecostatin 150mg pessaries (Bristol-Myers Squibb Pharmaceuticals Ltd) (AMP)
4093911000001100,Gyno-Pevaryl Once 150mg vaginal pessary (Karo Healthcare UK Ltd) (AMP)
4094311000001104,Ecostatin-1 pessaries 150mg (Bristol-Myers Squibb Pharmaceuticals Ltd) (AMP)
41786011000001102,Econazole 150mg pessaries (VMP)
41896611000001106,Econazole 1% cream - invalid (VMP)
42338311000001107,Pevaryl 1% cream (Karo Healthcare UK Ltd) (AMP)
42338611000001102,Gyno-Pevaryl 1% cream (Karo Healthcare UK Ltd) (AMP)
42340311000001109,Pevaryl 1% cream (Sigma Pharmaceuticals Plc) (AMP)
42340611000001104,Ecostatin 1% cream (Bristol-Myers Squibb Pharmaceuticals Ltd) (AMP)
42341211000001107,Ecostatin Twin Pack (Bristol-Myers Squibb Pharmaceuticals Ltd) (AMP)
42341611000001109,Gyno-Pevaryl 1 Combi Pack (Janssen-Cilag Ltd) (AMP)
42341811000001108,Gyno-Pevaryl 150 Combi Pack (Janssen-Cilag Ltd) (AMP)
42368811000001108,Econazole 1% cream (VMP)
42368911000001103,Econazole 1% vaginal cream (VMP)
42369011000001107,Econazole 150mg pessaries and Econazole 1% cream (VMP)
42369111000001108,Econazole 150mg pessaries and Econazole 1% vaginal cream (VMP)
676811000001108,Gyno-Pevaryl 1% cream (Karo Healthcare UK Ltd) (AMP)
775725003,Econazole (VTM)
8154011000001100,Gyno-Pevaryl 150 Combi Pack (Janssen-Cilag Ltd) (AMP)
8154811000001106,Gyno-Pevaryl 1 Combi Pack (Janssen-Cilag Ltd) (AMP)
8155511000001109,Ecostatin Twin Pack (Bristol-Myers Squibb Pharmaceuticals Ltd) (AMP)
908311000001106,Pevaryl 1% cream (Karo Healthcare UK Ltd) (AMP)
