code,term
10286811000001108,Fluconazole 200mg capsules (Relonchem Ltd) (AMP)
10287911000001100,Fluconazole 50mg capsules (Relonchem Ltd) (AMP)
10289011000001108,Fluconazole 150mg capsules (Relonchem Ltd) (AMP)
11405111000001101,Fluconazole 150mg capsules (PLIVA Pharma Ltd) (AMP)
11405511000001105,Fluconazole 200mg capsules (PLIVA Pharma Ltd) (AMP)
11406011000001106,Fluconazole 50mg capsules (PLIVA Pharma Ltd) (AMP)
14317811000001100,Diflucan 150mg capsules (Sigma Pharmaceuticals Plc) (AMP)
15054411000001107,Fluconazole 150mg capsules (Sigma Pharmaceuticals Plc) (AMP)
15087711000001101,Fluconazole 200mg capsules (Sigma Pharmaceuticals Plc) (AMP)
15087911000001104,Fluconazole 50mg capsules (Sigma Pharmaceuticals Plc) (AMP)
16051311000001101,Fluconazole 150mg capsules (Bristol Laboratories Ltd) (AMP)
16051611000001106,Fluconazole 50mg capsules (Bristol Laboratories Ltd) (AMP)
16051811000001105,Fluconazole 200mg capsules (Bristol Laboratories Ltd) (AMP)
165411000001105,Diflucan 50mg capsules (Pfizer Ltd) (AMP)
16559411000001106,Diflucan 150mg capsules (Mawdsley-Brooks & Company Ltd) (AMP)
17909111000001104,Fluconazole 50mg capsules (Phoenix Healthcare Distribution Ltd) (AMP)
17909311000001102,Fluconazole 150mg capsules (Phoenix Healthcare Distribution Ltd) (AMP)
17970411000001105,Fluconazole 50mg capsules (Almus Pharmaceuticals Ltd) (AMP)
17989311000001103,Boots Pharmacy Thrush 150mg capsules (The Boots Company Plc) (AMP)
17989911000001102,Boots Pharmacy Thrush Duo (The Boots Company Plc) (AMP)
17995311000001101,Fluconazole 150mg capsule and Clotrimazole 1% cream (VMP)
18056011000001104,Diflucan 150mg capsules (Lexon (UK) Ltd) (AMP)
18056211000001109,Diflucan 50mg capsules (Lexon (UK) Ltd) (AMP)
18156311000001107,Diflucan 50mg capsules (Mawdsley-Brooks & Company Ltd) (AMP)
18251411000001109,Diflucan 200mg capsules (Necessity Supplies Ltd) (AMP)
18251611000001107,Diflucan 150mg capsules (Necessity Supplies Ltd) (AMP)
18251911000001101,Diflucan 50mg capsules (Necessity Supplies Ltd) (AMP)
18461311000001108,Fluconazole 150mg capsules (Accord-UK Ltd) (AMP)
18461511000001102,Fluconazole 50mg capsules (Accord-UK Ltd) (AMP)
18574311000001108,Diflucan 150mg capsules (DE Pharmaceuticals) (AMP)
19542411000001105,Diflucan 50mg/5ml oral suspension (DE Pharmaceuticals) (AMP)
19901211000001100,Fluconazole 50mg/5ml oral suspension (Genus Pharmaceuticals Ltd) (AMP)
20034411000001102,Diflucan 50mg/5ml oral suspension (Lexon (UK) Ltd) (AMP)
20166611000001107,Fluconazole 200mg capsules (Accord-UK Ltd) (AMP)
20185611000001100,Fluconazole 50mg/5ml oral suspension (Alliance Healthcare (Distribution) Ltd) (AMP)
20191411000001100,Fluconazole 50mg/5ml oral suspension (A A H Pharmaceuticals Ltd) (AMP)
20942411000001102,Fluconazole 50mg/5ml oral suspension (Accord-UK Ltd) (AMP)
22013711000001105,Fluconazole 50mg capsules (Waymade Healthcare Plc) (AMP)
22013911000001107,Fluconazole 200mg capsules (Waymade Healthcare Plc) (AMP)
22014111000001106,Fluconazole 50mg/5ml oral suspension (Waymade Healthcare Plc) (AMP)
22349211000001105,Fluconazole 150mg capsules (Milpharm Ltd) (AMP)
22350611000001103,Fluconazole 200mg capsules (Milpharm Ltd) (AMP)
