code,term
10461000,Nonvenomous insect bite with infection
10662001,Nonvenomous insect bite of face with infection
11773571000119109,Infected wound of right elbow due to non venomous insect bite
11773651000119104,Infected wound of left elbow due to non venomous insect bite
11773731000119102,Nonvenomous insect bite of right thumb with infection
11773811000119104,Nonvenomous insect bite of left thumb with infection
11779561000119100,Infected wound of right forearm due to non venomous insect bite
11779601000119100,Infected wound of left forearm due to non venomous insect bite
11783401000119109,Infected wound of right hip due to nonvenomous insect bite
11783441000119106,Infected wound of left hip due to nonvenomous insect bite
11783681000119103,Nonvenomous insect bite of finger of right hand with infection
11783721000119109,Nonvenomous insect bite of right index finger with infection
11783761000119104,Nonvenomous insect bite of right little finger with infection
11783801000119107,Nonvenomous insect bite of right middle finger with infection
11783841000119109,Nonvenomous insect bite of right ring finger with infection
11783961000119101,Infected wound of right thigh due to nonvenomous insect bite
11784001000119100,Infected wound of left thigh due to nonvenomous insect bite
11784041000119103,Infected wound of right wrist due to non venomous insect bite
11784081000119108,Infected wound of left wrist due to non venomous insect bite
11789361000119103,Nonvenomous insect bite of finger of left hand with infection
11789401000119107,Nonvenomous insect bite of left index finger with infection
11789441000119109,Nonvenomous insect bite of left little finger with infection
11789481000119104,Nonvenomous insect bite of left middle finger with infection
11789521000119104,Nonvenomous insect bite of left ring finger with infection
11793541000119106,Infected nonvenomous insect bite of right ankle
11793581000119101,Infected nonvenomous insect bite of left ankle
11809141000119104,Nonvenomous insect bite of male genitalia with infection
11809221000119101,Infected wound of low back due to nonvenomous insect bite
11809301000119103,Nonvenomous insect bite of pelvis with infection
11809661000119109,Infected wound of right knee due to nonvenomous insect bite
11809701000119102,Infected wound of left knee due to nonvenomous insect bite
11810261000119103,Nonvenomous insect bite of female genitalia with infection
11822601000119105,Nonvenomous insect bite of right axilla with infection
11822641000119107,Nonvenomous insect bite of left axilla with infection
11823241000119101,Nonvenomous insect bite of right shoulder with infection
11823281000119106,Nonvenomous insect bite of left shoulder with infection
11823321000119101,Infected wound of right upper arm due to non venomous insect bite
11823361000119106,Infected wound of left upper arm due to non venomous insect bite
11837001000119102,Infected wound of right lower leg due to nonvenomous insect bite
11837041000119100,Infected wound of left lower leg due to nonvenomous insect bite
11843471000119109,Nonvenomous insect bite of right ear with infection
11843511000119100,Nonvenomous insect bite of left ear with infection
11847691000119103,Nonvenomous insect bite of tongue with infection
11848301000119100,Infected wound of right eyelid due to nonvenomous insect bite
11848381000119108,Infected wound of left eyelid due to nonvenomous insect bite
11849141000119108,Nonvenomous insect bite of right breast with infection
11849181000119103,Nonvenomous insect bite of left breast with infection
11849301000119109,Nonvenomous insect bite of right half of chest wall with infection
11849341000119106,Nonvenomous insect bite of left half of chest wall with infection
11851361000119106,Nonvenomous insect bite of right half of posterior thorax with infection
11851441000119100,Nonvenomous insect bite of left half of posterior thorax with infection
11852981000119108,Nonvenomous insect bite of chin with infection
11862361000119107,Nonvenomous insect bite of right great toe with infection
11862401000119103,Nonvenomous insect bite of left great toe with infection
11862441000119101,Nonvenomous insect bite of lesser toe of right foot with infection
11862481000119106,Nonvenomous insect bite of lesser toe of left foot with infection
11862521000119106,Infected wound of right foot due to nonvenomous insect bite
11862561000119101,Infected wound of left foot due to nonvenomous insect bite
1366286009,Nonvenomous insect bite of great toe with infection
1366287000,Nonvenomous insect bite of lesser toe with infection
1366288005,Nonvenomous insect bite of index finger with infection
1366289002,Nonvenomous insect bite of little finger with infection
1366290006,Nonvenomous insect bite of middle finger with infection
1366291005,Nonvenomous insect bite of ring finger with infection
1366292003,Nonvenomous insect bite of thumb with infection
1366293008,Nonvenomous insect bite of posterior thorax with infection
14096004,Nonvenomous insect bite of scapular region with infection
15034009,Nonvenomous insect bite of breast with infection
17198008,Nonvenomous insect bite of ear with infection
17384006,Nonvenomous insect bite of toe with infection
19108007,Nonvenomous insect bite of trunk with infection
211012003,"Insect bite, nonvenomous, of head, infected"
211013008,"Insect bite, nonvenomous, of head, infected, NOS"
211118002,"Insect bite, nonvenomous, of scrotum &/or testis, infected"
211119005,"Insect bite, nonvenomous, of trunk, infected, NOS"
211220005,"Insect bite, nonvenomous, of shoulder and upper arm, infected"
211221009,"Insect bite, nonvenomous, of interscapular region, infected"
211222002,"Insect bite, nonvenomous, of shoulder and upper arm, infected, NOS"
211276002,"Insect bite, nonvenomous, of lower arm, infected"
211277006,"Insect bite, nonvenomous, of lower arm, infected, NOS"
211364004,"Insect bite, nonvenomous, of lower limb, infected"
211365003,"Insect bite, nonvenomous, of knee, infected"
211366002,"Insect bite, nonvenomous, of lower limb, infected, NOS"
211423005,"Insect bite, nonvenomous, infected: [foot and toe] or [heel]"
211424004,"Insect bite, nonvenomous, of foot and toe, infected, NOS"
211461008,"Insect bite, nonvenomous, infected, NOS"
21494009,Nonvenomous insect bite of leg with infection
25726008,Nonvenomous insect bite of groin with infection
262550002,Infected insect bite
269197008,"Insect bite, nonvenomous, of scrotum and/or testis, infected"
269206003,"Insect bite, nonvenomous, of foot and toe, infected"
276433004,Insect bite - wound
283346007,Infected insect bite of head and neck
283347003,Infected insect bite of upper limb
283348008,Infected insect bite of dorsum of hand
283349000,Infected insect bite of palm of hand
283350000,Infected insect bite of thumb
283351001,Infected insect bite of pelvic region
283352008,Infected insect bite of genitalia
283353003,Infected insect bite of dorsum of foot
283354009,Infected insect bite of sole of foot
30818003,Nonvenomous insect bite of perineum with infection
33155001,Nonvenomous insect bite of flank with infection
35057008,Nonvenomous insect bite of penis with infection
37887002,Nonvenomous insect bite of neck with infection
38189003,Nonvenomous insect bite of ankle with infection
4124006,Nonvenomous insect bite of vagina with infection
41958008,Nonvenomous insect bite of back with infection
42032008,Nonvenomous insect bite of abdominal wall with infection
42089007,Nonvenomous insect bite of anus with infection
428471001,Nonvenomous insect bite of multiple sites with infection
428762009,Infected insect bite of hand
44352004,Nonvenomous insect bite of hand with infection
449643001,Nonvenomous insect bite of lower leg with infection
45915002,Nonvenomous insect bite of upper arm with infection
47027001,Nonvenomous insect bite of scrotum with infection
50124004,Nonvenomous insect bite of buttock with infection
51882009,Nonvenomous insect bite of interscapular region with infection
52705001,Nonvenomous insect bite of finger with infection
53188002,Nonvenomous insect bite of gum with infection
53706009,Nonvenomous insect bite of vulva with infection
56892000,Nonvenomous insect bite of chest wall with infection
