code,term
14764911000001101,Zaditen 1mg tablets (Sigma Pharmaceuticals Plc) (AMP)
16448111000001104,Zaditen 0.25mg/ml eye drops (Lexon (UK) Ltd) (AMP)
17479011000001107,Zaditen 0.25mg/ml eye drops (Mawdsley-Brooks & Company Ltd) (AMP)
18618411000001106,Zaditen 0.25mg/ml eye drops (DE Pharmaceuticals) (AMP)
35206111000001105,Ketofall 0.25mg/ml eye drops 0.4ml unit dose (Scope Ophthalmics Ltd) (AMP)
35214911000001103,Ketotifen 250micrograms/ml eye drops 0.4ml unit dose preservative free (VMP)
36449711000001105,Ketotifen 500micrograms/5ml oral solution (Special Order) (AMP)
36450011000001103,Ketotifen 250micrograms/5ml oral suspension (Special Order) (AMP)
36459311000001109,Ketotifen 250micrograms/5ml oral suspension (VMP)
36459411000001102,Ketotifen 500micrograms/5ml oral solution (VMP)
3777611000001105,Zaditen 1mg tablets (CD Pharma Srl) (AMP)
388511000001106,Zaditen 0.25mg/ml eye drops (Thea Pharmaceuticals Ltd) (AMP)
38957011000001107,Ketotifen 1mg/5ml oral solution sugar free (Special Order) (AMP)
39000311000001106,Ketotifen 1mg/5ml oral solution sugar free (Imported) (AMP)
39070111000001100,Ketotifen 1mg capsules (Special Order) (AMP)
39696911000001104,Ketotifen 1mg capsules (VMP)
39697111000001104,Ketotifen 1mg tablets (VMP)
4027611000001107,Zaditen 1mg/5ml elixir (CD Pharma Srl) (AMP)
4030311000001100,Ketotifen 1mg/5ml oral solution sugar free (VMP)
42192011000001106,Ketotifen 250micrograms/ml eye drops (VMP)
4540511000001105,Zaditen 1mg capsules (Novartis Pharmaceuticals UK Ltd) (AMP)
5280311000001108,Zaditen 0.25mg/ml eye drops (Waymade Healthcare Plc) (AMP)
5494011000001103,Zaditen 1mg capsules (Waymade Healthcare Plc) (AMP)
776453005,Ketotifen (VTM)
