code,term
13826911000001104,Alomide 0.1% eye drops (DE Pharmaceuticals) (AMP)
14054111000001109,Alomide 0.1% eye drops (Sigma Pharmaceuticals Plc) (AMP)
16139811000001102,Alomide 0.1% eye drops (Lexon (UK) Ltd) (AMP)
16259411000001100,Alomide 0.1% eye drops (Mawdsley-Brooks & Company Ltd) (AMP)
17579811000001106,Alomide 0.1% eye drops (Necessity Supplies Ltd) (AMP)
397611000001105,Alomide 0.1% eye drops (Novartis Pharmaceuticals UK Ltd) (AMP)
42192611000001104,Lodoxamide 0.1% eye drops (VMP)
5254711000001108,Alomide 0.1% eye drops (Waymade Healthcare Plc) (AMP)
5297611000001100,Alomide 0.1% eye drops (Dowelhurst Ltd) (AMP)
776561002,Lodoxamide (VTM)
7960511000001100,Alomide Allergy 0.1% eye drops (Alcon Eye Care UK Ltd) (AMP)
