code,term
13505811000001106,Loramyc 50mg muco-adhesive buccal tablets (Laboratoires BioAlliance Pharma) (AMP)
13533111000001108,Miconazole 50mg muco-adhesive buccal tablets sugar free (VMP)
13861611000001109,Daktarin 2% cream (DE Pharmaceuticals) (AMP)
14215111000001107,Daktarin 2% cream (Sigma Pharmaceuticals Plc) (AMP)
14717811000001101,Daktarin 2% cream (Janssen-Cilag Ltd) (AMP)
14718011000001108,Daktarin 20mg/g oromucosal gel (McNeil Products Ltd) (AMP)
15950911000001100,Daktarin 20mg/g oromucosal gel (Waymade Healthcare Plc) (AMP)
17340211000001101,Daktarin 20mg/g oromucosal gel (Mawdsley-Brooks & Company Ltd) (AMP)
18483211000001104,Daktarin 2% cream (Mawdsley-Brooks & Company Ltd) (AMP)
19200811000001108,Gyno-Daktarin 2% vaginal cream (Janssen-Cilag Ltd) (AMP)
23931111000001102,Gyno-Daktarin 2% vaginal cream (Waymade Healthcare Plc) (AMP)
3164211000001101,Daktarin 20mg/g oromucosal gel (Kenvue UK Ltd) (AMP)
3357711000001102,Gyno-Daktarin 1200mg vaginal capsules (Janssen-Cilag Ltd) (AMP)
3358511000001106,Gyno-Daktarin 100mg pessaries (Janssen-Cilag Ltd) (AMP)
3458111000001105,Gyno-Daktarin 2% cream (Janssen-Cilag Ltd) (AMP)
3458311000001107,Daktarin 2% cream (McNeil Products Ltd) (AMP)
3458711000001106,Daktarin Aktiv 2% cream (McNeil Products Ltd) (AMP)
3459211000001109,Gyno-Daktarin Combipack (Janssen-Cilag Ltd) (AMP)
36036011000001108,Miconazole 1.2g vaginal capsules (VMP)
36566211000001106,Miconazole 2% powder (VMP)
3778811000001108,Daktarin Aktiv 0.16% spray powder (McNeil Products Ltd) (AMP)
3779411000001103,Daktarin 2% powder (McNeil Products Ltd) (AMP)
3779611000001100,Daktarin Aktiv 2% powder (McNeil Products Ltd) (AMP)
39719011000001100,Miconazole 100mg pessaries and Miconazole 2% cream (VMP)
41743011000001104,Miconazole 20mg/g oromucosal gel sugar free (VMP)
41792111000001104,Miconazole 0.16% dry powder spray (VMP)
41792211000001105,Miconazole 100mg pessaries (VMP)
41903211000001107,Miconazole 2% cream (VMP)
41903411000001106,Miconazole 2% vaginal cream (VMP)
5354911000001104,Daktarin 2% cream (Waymade Healthcare Plc) (AMP)
5532511000001103,Daktarin 2% cream (Dowelhurst Ltd) (AMP)
776782005,Miconazole (VTM)
8002011000001107,Acorvio 2% cream (Ferndale Pharmaceuticals Ltd) (AMP)
