code,term
13942411000001102,Opatanol 1mg/ml eye drops (DE Pharmaceuticals) (AMP)
17615211000001106,Opatanol 1mg/ml eye drops (Necessity Supplies Ltd) (AMP)
29738011000001100,Opatanol 1mg/ml eye drops (Waymade Healthcare Plc) (AMP)
37901411000001106,Olopatadine 1mg/ml eye drops (Drugsrus Ltd) (AMP)
38015211000001107,Olopatadine 1mg/ml eye drops (A A H Pharmaceuticals Ltd) (AMP)
38091111000001102,Olopatadine 1mg/ml eye drops (Ennogen Healthcare International Ltd) (AMP)
39065311000001103,Olopatadine 1mg/ml eye drops (Medihealth (Northern) Ltd) (AMP)
40090711000001105,Olopatadine 1mg/ml eye drops (Alliance Healthcare (Distribution) Ltd) (AMP)
41188711000001109,Olopatadine 1mg/ml eye drops (Kent Pharma (UK) Ltd) (AMP)
42193511000001105,Olopatadine 1mg/ml eye drops (VMP)
42218811000001101,Olopatadine 1mg/ml eye drops (Brown & Burk UK Ltd) (AMP)
44966911000001103,Hayeeze 1mg/ml eye drops (Drugsrus Ltd) (AMP)
4532711000001100,Opatanol 1mg/ml eye drops (Novartis Pharmaceuticals UK Ltd) (AMP)
45527811000001100,Olopatadine 1mg/ml eye drops (Blumont Pharma Ltd) (AMP)
776985002,Olopatadine (VTM)
