code,term
10064611000001108,Sodium cromoglicate 2% eye drops preservative free (VMP)
10415211000001100,Sodium cromoglicate 2% eye drops (Arrow Generics Ltd) (AMP)
11414811000001105,Sodium cromoglicate 2% eye drops (PLIVA Pharma Ltd) (AMP)
12111000001101,Sodium cromoglicate 2% eye drops (A A H Pharmaceuticals Ltd) (AMP)
13942711000001108,Opticrom Aqueous 2% eye drops (DE Pharmaceuticals) (AMP)
14669911000001109,Opticrom Aqueous 2% eye drops (Sigma Pharmaceuticals Plc) (AMP)
16629811000001104,Opticrom Hayfever 2% eye drops (Thornton & Ross Ltd) (AMP)
17032611000001100,Catacrom 2% eye drops 0.3ml unit dose (Rayner Pharmaceuticals Ltd) (AMP)
17042811000001100,Sodium cromoglicate 2% eye drops 0.3ml unit dose preservative free (VMP)
17054711000001100,Lloydspharmacy Allergy 2% eye drops (Lloyds Pharmacy Ltd) (AMP)
17343011000001101,Opticrom Allergy 2% eye drops (Mawdsley-Brooks & Company Ltd) (AMP)
17343211000001106,Opticrom Aqueous 2% eye drops (Mawdsley-Brooks & Company Ltd) (AMP)
17796311000001104,Sodium cromoglicate 2% eye drops (Phoenix Healthcare Distribution Ltd) (AMP)
18747211000001105,Galpharm Hayfever 2% eye drops (Galpharm International Ltd) (AMP)
19858311000001104,Opticrom Aqueous 2% eye drops (Lexon (UK) Ltd) (AMP)
21142611000001106,Allercrom 2% eye drops (Viatris UK Healthcare Ltd) (AMP)
21413611000001107,Vividrin 2% eye drops 0.5ml unit dose preservative free (Imported (Ireland)) (AMP)
21424211000001103,Sodium cromoglicate 2% eye drops 0.5ml unit dose preservative free (VMP)
21900411000001100,Sodium cromoglicate 2% eye drops (Waymade Healthcare Plc) (AMP)
22650511000001109,Numark Hayfever 2% eye drops (Numark Ltd) (AMP)
28205211000001104,Murine hayfever relief 2% eye drops (Prestige Brands (UK) Ltd) (AMP)
30098311000001109,Sodium cromoglicate 2% eye drops (DE Pharmaceuticals) (AMP)
31396911000001104,Optrex Hayfever Relief 2% eye drops (Reckitt Benckiser Healthcare (UK) Ltd) (AMP)
31411000001108,Hay-Crom Aqueous 2% eye drops (Teva UK Ltd) (AMP)
327511000001100,Opticrom Aqueous 2% eye drops (Thornton & Ross Ltd) (AMP)
32882711000001104,Aspire Hayfever Relief 2% eye drops (Aspire Pharma Ltd) (AMP)
33275111000001103,Sodium cromoglicate 2% eye drops (Aspire Pharma Ltd) (AMP)
35926511000001106,Sodium cromoglicate 2% eye drops unit dose preservative free (VMP)
36311000001109,Opticrom Allergy 2% eye drops (Thornton & Ross Ltd) (AMP)
36410311000001109,Sodium cromoglicate (VTM)
36771311000001104,Opticrom Allergy Single Dose 2% eye drops 0.3ml unit dose (Opella Healthcare UK Ltd) (AMP)
37012311000001102,Aspire Allergy Relief 2% eye drops (Aspire Pharma Ltd) (AMP)
37140911000001101,Sodium cromoglicate 2% eye drops (Mawdsley-Brooks & Company Ltd) (AMP)
37144111000001108,Sodium cromoglicate 2% eye drops (FDC International Ltd) (AMP)
39027711000001104,Librachrom 2% eye drops (Aspire Pharma Ltd) (AMP)
39248111000001106,Sodium cromoglicate 2% eye drops (Medihealth (Northern) Ltd) (AMP)
39361811000001105,Eycrom 2% eye drops (Aspire Pharma Ltd) (AMP)
395311000001108,Sodium cromoglicate 2% eye drops (Alliance Healthcare (Distribution) Ltd) (AMP)
400011000001109,Hay-Crom Hayfever 2% eye drops (IVAX Pharmaceuticals UK Ltd) (AMP)
40237511000001100,Allercrom 2% eye drops (FDC International Ltd) (AMP)
40734611000001104,Librachrom Hayfever Relief 2% eye drops (Aspire Pharma Ltd) (AMP)
418511000001101,Vividrin 2% eye drops (Bausch & Lomb UK Ltd) (AMP)
42196311000001108,Sodium cromoglicate 2% eye drops (VMP)
42249211000001102,Sodium cromoglicate 2% eye drops (Brown & Burk UK Ltd) (AMP)
42935511000001102,Sodium cromoglicate 2% eye drops (Neon Healthcare Ltd) (AMP)
45873211000001105,Theratears Hayfever Relief 2% eye drops (Prestige Brands (UK) Ltd) (AMP)
469411000001109,Viz-On 2% eye drops (Opus Pharmaceuticals Ltd) (AMP)
490911000001105,Optrex Allergy 2% eye drops (Reckitt Benckiser Healthcare (UK) Ltd) (AMP)
5004311000001106,Sodium cromoglicate 2% eye drops unit dose preservative free (Aventis Pharma) (AMP)
5396911000001101,Opticrom Aqueous 2% eye drops (Waymade Healthcare Plc) (AMP)
556211000001102,Sodium cromoglicate 2% eye drops (Kent Pharma (UK) Ltd) (AMP)
57811000001104,Dominion Pharma Hayfever 2% eye drops (PLIVA Pharma Ltd) (AMP)
737511000001102,Sodium cromoglicate 2% eye drops (The Boots Company Plc) (AMP)
789011000001107,Vivicrom 2% eye drops (Nucare Plc) (AMP)
7960711000001105,Clarityn Allergy 2% eye drops (Schering-Plough Ltd) (AMP)
7963211000001108,Pollenase Allergy 2% eye drops (East Midlands Pharma Ltd) (AMP)
893511000001103,Sodium cromoglicate 2% eye drops (Accord-UK Ltd) (AMP)
9359811000001104,Cromolux 2% eye drops (Tubilux Pharma Ltd) (AMP)
9360011000001106,Cromolux Hayfever 2% eye drops (Tubilux Pharma Ltd) (AMP)
9385711000001100,Sodium cromoglicate 2% eye drops preservative free (Special Order) (AMP)
9881911000001103,Galpharm Allergy 2% eye drops (Galpharm International Ltd) (AMP)
