code,term
10064611000001108,Sodium cromoglicate 2% eye drops preservative free (VMP)
10415211000001100,Sodium cromoglicate 2% eye drops (Arrow Generics Ltd) (AMP)
11414811000001105,Sodium cromoglicate 2% eye drops (PLIVA Pharma Ltd) (AMP)
11923811000001103,Nalcrom 100mg capsules (Waymade Healthcare Plc) (AMP)
12111000001101,Sodium cromoglicate 2% eye drops (A A H Pharmaceuticals Ltd) (AMP)
13942711000001108,Opticrom Aqueous 2% eye drops (DE Pharmaceuticals) (AMP)
13987511000001105,Sodium cromoglicate 100mg/5ml oral solution (Special Order) (AMP)
14017211000001100,Sodium cromoglicate 100mg/5ml oral solution (VMP)
14317211000001101,Nalcrom 100mg capsules (Sigma Pharmaceuticals Plc) (AMP)
14669911000001109,Opticrom Aqueous 2% eye drops (Sigma Pharmaceuticals Plc) (AMP)
16211211000001105,Nalcrom 100mg capsules (Lexon (UK) Ltd) (AMP)
16558111000001108,Nalcrom 100mg capsules (Mawdsley-Brooks & Company Ltd) (AMP)
16584811000001100,Nalcrom 100mg capsules (Stephar (U.K.) Ltd) (AMP)
16629811000001104,Opticrom Hayfever 2% eye drops (Thornton & Ross Ltd) (AMP)
17032611000001100,Catacrom 2% eye drops 0.3ml unit dose (Rayner Pharmaceuticals Ltd) (AMP)
17042811000001100,Sodium cromoglicate 2% eye drops 0.3ml unit dose preservative free (VMP)
17054711000001100,Lloydspharmacy Allergy 2% eye drops (Lloyds Pharmacy Ltd) (AMP)
17343011000001101,Opticrom Allergy 2% eye drops (Mawdsley-Brooks & Company Ltd) (AMP)
17343211000001106,Opticrom Aqueous 2% eye drops (Mawdsley-Brooks & Company Ltd) (AMP)
17796311000001104,Sodium cromoglicate 2% eye drops (Phoenix Healthcare Distribution Ltd) (AMP)
18747211000001105,Galpharm Hayfever 2% eye drops (Galpharm International Ltd) (AMP)
19858311000001104,Opticrom Aqueous 2% eye drops (Lexon (UK) Ltd) (AMP)
21142611000001106,Allercrom 2% eye drops (Viatris UK Healthcare Ltd) (AMP)
21413611000001107,Vividrin 2% eye drops 0.5ml unit dose preservative free (Imported (Ireland)) (AMP)
21424211000001103,Sodium cromoglicate 2% eye drops 0.5ml unit dose preservative free (VMP)
21900411000001100,Sodium cromoglicate 2% eye drops (Waymade Healthcare Plc) (AMP)
22650511000001109,Numark Hayfever 2% eye drops (Numark Ltd) (AMP)
28205211000001104,Murine hayfever relief 2% eye drops (Prestige Brands (UK) Ltd) (AMP)
30098311000001109,Sodium cromoglicate 2% eye drops (DE Pharmaceuticals) (AMP)
31396911000001104,Optrex Hayfever Relief 2% eye drops (Reckitt Benckiser Healthcare (UK) Ltd) (AMP)
31411000001108,Hay-Crom Aqueous 2% eye drops (Teva UK Ltd) (AMP)
327511000001100,Opticrom Aqueous 2% eye drops (Thornton & Ross Ltd) (AMP)
32882711000001104,Aspire Hayfever Relief 2% eye drops (Aspire Pharma Ltd) (AMP)
33275111000001103,Sodium cromoglicate 2% eye drops (Aspire Pharma Ltd) (AMP)
35926511000001106,Sodium cromoglicate 2% eye drops unit dose preservative free (VMP)
36311000001109,Opticrom Allergy 2% eye drops (Thornton & Ross Ltd) (AMP)
36410311000001109,Sodium cromoglicate (VTM)
36771311000001104,Opticrom Allergy Single Dose 2% eye drops 0.3ml unit dose (Opella Healthcare UK Ltd) (AMP)
37012311000001102,Aspire Allergy Relief 2% eye drops (Aspire Pharma Ltd) (AMP)
37140911000001101,Sodium cromoglicate 2% eye drops (Mawdsley-Brooks & Company Ltd) (AMP)
37144111000001108,Sodium cromoglicate 2% eye drops (FDC International Ltd) (AMP)
38153911000001100,Nalcrom 100mg capsules (DE Pharmaceuticals) (AMP)
3842011000001101,Nalcrom 100mg capsules (Sanofi) (AMP)
39027711000001104,Librachrom 2% eye drops (Aspire Pharma Ltd) (AMP)
39125411000001106,Nalcrom 100mg capsules (Imported (Canada)) (AMP)
39248111000001106,Sodium cromoglicate 2% eye drops (Medihealth (Northern) Ltd) (AMP)
39361811000001105,Eycrom 2% eye drops (Aspire Pharma Ltd) (AMP)
39383211000001105,Sodium cromoglicate 100mg/5ml oral solution 5ml unit dose ampoules sugar free (Brown & Burk UK Ltd) (AMP)
39418311000001103,Sodium cromoglicate 100mg/5ml oral solution 5ml unit dose ampoules sugar free (VMP)
