code,term
108223009,Team conference AND/OR telephone consultation
11797002,Telephone call by physician to patient or for consultation
1240451000000106,Telephone consultation for suspected severe acute respiratory syndrome coronavirus 2
151360008,Patient given telephone advice out of hours
151866007,Planned telephone contact
153505005,Telephone encounter
183089000,Patient given telephone advice out of hours
185317003,Telephone encounter
24671000000101,Telephone call to a patient
24681000000104,Telephone consultation
24851000000109,Telephone contact only
279961000000108,Nurse telephone triage
313184003,Patient given telephone advice out of hours
314849005,Telephone contact by consultant
325891000000104,Consultation by telephone encounter type
325971000000106,Assessment by telephone encounter type
35491000000103,Telephone call to a patient
35501000000109,Telephone call to a patient
35531000000103,Telephone consultation
35541000000107,Telephone consultation
38121000000101,Telephone triage encounter
38451000000101,Telephone triage encounter
386472008,Telephone consultation
386473003,Telephone follow-up
386479004,Triage: telephone
38851000000104,Telephone triage encounter
389918006,Patient given telephone advice during surgery hours
390652002,Patient given telephone advice during surgery hours
390942004,Patient given telephone advice during surgery hours
401267002,Telephone triage encounter
40931000000104,Telephone triage encounter
43291000000104,Telephone triage encounter
45451000000105,Telephone triage encounter
520141000000108,Telephone consultation for suspected influenza A virus subtype H1N1
716431000000101,Telephone contact only
773531000000103,Telemedicine consultation
864711000000109,Telephone follow-up
864721000000103,Telephone follow-up 
