code,term
10752171000119101,Postpartum candidiasis of vagina
1085006,Candidiasis of vulva
110091000119107,Candidiasis of vagina during pregnancy
111903003,Candidiasis of other urogenital sites
111904009,Candidiasis of urogenital site
138841771000119103,Chronic candidiasis of vagina during pregnancy
187009004,Candidal: [vulvovaginitis NOS] or [cervix]
187010009,Other urogenital candidiasis
237082005,Candidiasis of cervix
240706001,Candida infection of genital region
240707005,Anogenital candidiasis
258497601000119102,Chronic candidiasis of vulva
282146001000119107,Acute candidiasis of vagina
309483341000119107,Chronic candidiasis of vagina
360380003,Candidal balano-posthitis
367544002,Candidiasis of the genitals
378483611000119105,Chronic candidal vulvovaginitis
393561009,Vaginal candidiasis
52643007,Candidal balanitis
552461311000119108,Chronic candidiasis of vagina during maternal postpartum period
558371000000100,Other urogenital candidiasis
652569491000119108,Acute candidiasis of vagina in pregnancy
667958431000119100,Acute candidiasis of vulva
674801491000119102,Recurrent candidal vulvovaginitis
677034281000119104,Recurrent candidiasis of vulva
686778351000119105,Acute candidiasis of vagina postpartum
708126004,Recurrent candidiasis of vagina
72605008,Candidal vulvovaginitis
72934000,Candidiasis of vagina
778031000000102,Anogenital candidiasis
947861131000119106,Acute candidal vulvovaginitis
95895001,Candidiasis of the genitals
