measure,interval_start,interval_end,ratio,numerator,denominator,practice,month
pf_consultation_uti,2022-02-01,2022-02-28,0.0,0,1,475,2022-02-01
pf_consultation_sinusitis,2022-02-01,2022-02-28,0.0,0,1,475,2022-02-01
pf_consultation_insectbite,2022-02-01,2022-02-28,0.0,0,1,475,2022-02-01
pf_consultation_otitismedia,2022-02-01,2022-02-28,0.0,0,1,475,2022-02-01
pf_consultation_sorethroat,2022-02-01,2022-02-28,0.0,0,1,475,2022-02-01
pf_consultation_shingles,2022-02-01,2022-02-28,0.0,0,1,475,2022-02-01
pf_consultation_impetigo,2022-02-01,2022-02-28,0.0,0,1,475,2022-02-01
pf_prescribing_rate_uti,2022-02-01,2022-02-28,0.0,0,1,475,2022-02-01
pf_prescribing_rate_sinusitis,2022-02-01,2022-02-28,0.0,0,1,475,2022-02-01
pf_prescribing_rate_insectbite,2022-02-01,2022-02-28,0.0,0,1,475,2022-02-01
pf_prescribing_rate_otitismedia,2022-02-01,2022-02-28,0.0,0,1,475,2022-02-01
pf_prescribing_rate_sorethroat,2022-02-01,2022-02-28,0.0,0,1,475,2022-02-01
pf_prescribing_rate_shingles,2022-02-01,2022-02-28,0.0,0,1,475,2022-02-01
pf_prescribing_rate_impetigo,2022-02-01,2022-02-28,0.0,0,1,475,2022-02-01
pf_nitrofurantoin_rate_uti,2022-02-01,2022-02-28,0.0,0,1,475,2022-02-01
pf_trimethoprim_rate_uti,2022-02-01,2022-02-28,0.0,0,1,475,2022-02-01
pf_phenoxymethylpenicillin_rate_sinusitis,2022-02-01,2022-02-28,0.0,0,1,475,2022-02-01
pf_doxycycline_rate_sinusitis,2022-02-01,2022-02-28,0.0,0,1,475,2022-02-01
pf_flucloxacillin_rate_insectbite,2022-02-01,2022-02-28,0.0,0,1,475,2022-02-01
pf_clarithromycin_rate_insectbite,2022-02-01,2022-02-28,0.0,0,1,475,2022-02-01
pf_amoxicillin_rate_otitismedia,2022-02-01,2022-02-28,0.0,0,1,475,2022-02-01
pf_clarithromycin_rate_otitismedia,2022-02-01,2022-02-28,0.0,0,1,475,2022-02-01
pf_phenoxymethylpenicillin_rate_sorethroat,2022-02-01,2022-02-28,0.0,0,1,475,2022-02-01
pf_clarithromycin_rate_sorethroat,2022-02-01,2022-02-28,0.0,0,1,475,2022-02-01
pf_aciclovir_rate_shingles,2022-02-01,2022-02-28,0.0,0,1,475,2022-02-01
pf_valaciclovir_rate_shingles,2022-02-01,2022-02-28,0.0,0,1,475,2022-02-01
pf_fusidic_acid_rate_impetigo,2022-02-01,2022-02-28,0.0,0,1,475,2022-02-01
pf_flucloxacillin_rate_impetigo,2022-02-01,2022-02-28,0.0,0,1,475,2022-02-01
pf_consultation_uti,2022-03-01,2022-03-31,0.0,0,1,108,2022-03-01
pf_consultation_sinusitis,2022-03-01,2022-03-31,0.0,0,1,108,2022-03-01
pf_consultation_insectbite,2022-03-01,2022-03-31,0.0,0,1,108,2022-03-01
pf_consultation_otitismedia,2022-03-01,2022-03-31,0.0,0,1,108,2022-03-01
pf_consultation_sorethroat,2022-03-01,2022-03-31,0.0,0,1,108,2022-03-01
pf_consultation_shingles,2022-03-01,2022-03-31,0.0,0,1,108,2022-03-01
pf_consultation_impetigo,2022-03-01,2022-03-31,0.0,0,1,108,2022-03-01
pf_prescribing_rate_uti,2022-03-01,2022-03-31,0.0,0,1,108,2022-03-01
pf_prescribing_rate_sinusitis,2022-03-01,2022-03-31,0.0,0,1,108,2022-03-01
